LocationID,Borough,Zone,service_zone,search,latitude,longitude
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,"East Flatbush/Remsen Village,  New York NYC",40.658515,-73.924993
73,Queens,East Flushing,Boro Zone,"East Flushing,  New York NYC",40.7575366,-73.78430453
74,Manhattan,East Harlem North,Boro Zone,"East Harlem North,  New York NYC",40.7947222,-73.9425
75,Manhattan,East Harlem South,Boro Zone,"East Harlem South,  New York NYC",40.7947222,-73.9425
76,Brooklyn,East New York,Boro Zone,"East New York,  New York NYC",40.6667702,-73.8823583
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,"East New York/Pennsylvania Avenue,  New York NYC",40.656597,-73.889238
78,Bronx,East Tremont,Boro Zone,"East Tremont,  New York NYC",40.8453781,-73.8909693
79,Manhattan,East Village,Yellow Zone,"East Village,  New York NYC",40.7292688,-73.9873613
80,Brooklyn,East Williamsburg,Boro Zone,"East Williamsburg,  New York NYC",40.714622,-73.95345
81,Bronx,Eastchester,Boro Zone,"Eastchester,  New York NYC",40.8884329,-73.8281895
82,Queens,Elmhurst,Boro Zone,"Elmhurst,  New York NYC",40.7365804,-73.8783932
83,Queens,Elmhurst/Maspeth,Boro Zone,"Elmhurst/Maspeth,  New York NYC",40.730212,-73.887491
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,"Eltingville/Annadale/Prince's Bay,  New York NYC",40.534346,-74.185652
85,Brooklyn,Erasmus,Boro Zone,"Erasmus,  New York NYC",40.6495482,-73.9559714
86,Queens,Far Rockaway,Boro Zone,"Far Rockaway,  New York NYC",40.6053825,-73.7551326
87,Manhattan,Financial District North,Yellow Zone,"Financial District North,  New York NYC",40.7076124,-74.009378
88,Manhattan,Financial District South,Yellow Zone,"Financial District South,  New York NYC",40.7076124,-74.009378
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,"Flatbush/Ditmas Park,  New York NYC",40.6401454,-73.9608797
90,Manhattan,Flatiron,Yellow Zone,"Flatiron,  New York NYC",40.7410592,-73.98964162
91,Brooklyn,Flatlands,Boro Zone,"Flatlands,  New York NYC",40.6212155,-73.9348597
92,Queens,Flushing,Boro Zone,"Flushing,  New York NYC",40.7654301,-73.8174291
93,Queens,Flushing Meadows-Corona Park,Boro Zone,"Flushing Meadows-Corona Park,  New York NYC",40.7407093,-73.84324476
94,Bronx,Fordham South,Boro Zone,"Fordham South,  New York NYC",40.8614754,-73.8905439
95,Queens,Forest Hills,Boro Zone,"Forest Hills,  New York NYC",40.7195942,-73.8448553
96,Queens,Forest Park/Highland Park,Boro Zone,"Forest Park/Highland Park,  New York NYC",40.68623,-73.885806
97,Brooklyn,Fort Greene,Boro Zone,"Fort Greene,  New York NYC",40.6907711,-73.9766245
98,Queens,Fresh Meadows,Boro Zone,"Fresh Meadows,  New York NYC",40.7348246,-73.7934668
99,Staten Island,Freshkills Park,Boro Zone,"Freshkills Park,  New York NYC",40.5791894,-74.17992555
100,Manhattan,Garment District,Yellow Zone,"Garment District,  New York NYC",40.7536941,-73.9905167
101,Queens,Glen Oaks,Boro Zone,"Glen Oaks,  New York NYC",40.7470463,-73.7115199
102,Queens,Glendale,Boro Zone,"Glendale,  New York NYC",40.7014917,-73.8868028
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"Governor's Island/Ellis Island/Liberty Island,  New York NYC",40.700304,-74.041134
